Month,Banks_Live,Txn_Volume_Mn,Txn_Value_Cr,Avg_Txn_Value_INR,MoM_Growth_Volume_%,MoM_Growth_Value_%
2021-06-01,229,2807.51,547373.17,1949.6748720396365,10.550605023685122,11.563402108659805
2021-07-01,235,3247.82,606281.14,1866.732577544322,15.683292312404928,10.761939610595084
2021-08-01,249,3555.55,639116.95,1797.5192304987977,9.474970903559932,5.415937893103506
2021-09-01,259,3654.3,654351.81,1790.6351695263118,2.7773480896063907,2.383735871815018
2021-10-01,261,4218.65,771444.98,1828.6536688277056,15.443450181977392,17.89452832720062
2021-11-01,274,4186.48,768436.11,1835.518406871644,-0.7625662237919717,-0.3900304076124739
2021-12-01,282,4566.3,826848.22,1810.7619297899832,9.072538266037355,7.601427007379957
2022-01-01,297,4617.15,831993.11,1801.962487681795,1.1135930622166557,0.6222290712556644
2022-02-01,304,4527.49,826843.0,1826.2723937545968,-1.9418905601940597,-0.6190087319352888
2022-03-01,314,5405.65,960581.66,1776.9956619462969,19.396177573004024,16.17461356025267
2022-04-01,316,5583.05,983302.27,1761.227769767421,3.281751500744612,2.365297084685136
2022-05-01,323,5955.2,1041520.07,1748.9254265180011,6.665711394309559,5.9206412693423305
2022-06-01,330,5862.75,1014384.31,1730.2192827597971,-1.552424771628158,-2.605399625184357
2022-07-01,338,6288.4,1062991.76,1690.4009923032886,7.260244765681634,4.791818004361681
2022-08-01,346,6579.63,1072792.68,1630.475695441841,4.631225748998169,0.9220127915196664
2022-09-01,358,6780.8,1116438.1,1646.4695906087777,3.057466757249272,4.068392785827002
2022-10-01,365,7305.42,1211582.51,1658.4707107873332,7.736845210004728,8.522139292809872
2022-11-01,376,7309.45,1190593.39,1628.8412808077212,0.0551645216839036,-1.7323723169295424
2022-12-01,382,7829.49,1282055.01,1637.4693753999302,7.114625587424506,7.682019803587203
2023-01-01,385,8036.89,1298726.62,1615.9566946916036,2.648959255328265,1.3003817987498056
2023-02-01,390,7534.76,1235846.62,1640.193742070086,-6.247814764168725,-4.841665600109124
2023-03-01,399,8685.3,1410443.01,1623.9427653621638,15.269763071418318,14.127674678594015
2023-04-01,414,8863.26,1415504.71,1597.0474859137607,2.048979309868404,0.3588730607413826
2023-05-01,445,9415.19,1489145.44,1581.6414113788462,6.227166979192766,5.202436239155994
2023-06-01,458,9335.06,1475464.26,1580.5621602860613,-0.8510715131611946,-0.9187269176340496
2023-07-01,473,9964.61,1533536.44,1538.9829004848157,6.743930944203913,3.935858127800396
2023-08-01,484,10586.02,1576536.56,1489.2627824243673,6.236169804939684,2.803984233984047
2023-09-01,492,10555.69,1579133.18,1496.00185302903,-0.2865099442472263,0.1647040776523445
2023-10-01,505,11408.79,1715768.34,1503.900361037411,8.08189706215321,8.652541896434606
2023-11-01,516,11235.29,1739740.61,1548.4607962945329,-1.5207572406889749,1.3971740497321417
2023-12-01,522,12020.23,1822949.42,1516.5678360563816,6.986379523804009,4.782828516028026
2024-01-01,550,12203.02,1841083.97,1508.71175332008,1.5206863762174283,0.9947917260370254
2024-02-01,560,12102.67,1827869.35,1510.3025613356392,-0.8223374213924162,-0.7177630252247491
2024-03-01,572,13440.0,1978353.23,1471.9890104166666,11.049875771214124,8.232748144718327
2024-04-01,583,13303.99,1964464.52,1476.5980130772798,-1.0119791666666655,-0.7020338829987427
2024-05-01,598,14035.84,2044937.05,1456.9395561647896,5.500981284562001,4.096410455913957
2024-06-01,602,13885.14,2007081.2,1445.4886302910882,-1.0736799507546468,-1.851198793625464
2024-07-01,605,14435.55,2064292.41,1430.0060683520892,3.964021968809828,2.85046813252996
2024-08-01,608,14963.05,2060735.57,1377.2162560440552,3.654173204346223,-0.1723031089379323
2024-09-01,622,15041.75,2063994.71,1372.1772466634534,0.5259622871005565,0.158154207043637
2024-10-01,632,16584.97,2349821.46,1416.8379321759398,10.259577509265894,13.848230744738688
2024-11-01,637,15482.02,2155187.4,1392.058271465868,-6.650298432858193,-8.28292971671133
2024-12-01,641,16730.01,2324699.91,1389.5388645912346,8.060899029971536,7.865325771670717
2025-01-01,647,16996.0,2348037.12,1381.523370204754,1.5898974358054874,1.0038805395746753
2025-02-01,653,16106.19,2196481.69,1363.7500178502798,-5.235408331372082,-6.45455852077842
2025-03-01,661,18301.51,2477221.61,1353.5613236284876,13.630287485743043,12.78134578941106
2025-04-01,668,17893.42,2394925.87,1338.439420747962,-2.2298160097172337,-3.3220984213842564
2025-05-01,673,18677.46,2514297.01,1346.1664541109978,4.381722443222147,4.984335485924651
2025-06-01,675,18395.01,2403930.69,1306.8384795659258,-1.512250595102338,-4.389549824903138
2025-07-01,684,19467.95,2508498.09,1288.527086827324,5.832777476065543,4.349850868620497
2025-08-01,688,20008.31,2485472.91,1242.2203124601729,2.775638934762004,-0.9178870851761278
